0,ageGroup,artifactUrl,attributions,author,concepts,contentType,createdBy,description,downloadUrl,gradeLevel,identifier,keywords,language,name,objectType,status,subject,variants,content_type,chapter_tag,pred_grades
10,,https://www.youtube.com/watch?v=y6YVSiFblsc&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,Symmetry,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882524710666242667/chapter15_sammitata_maths_1525481840213_do_3124882524710666242667_1.0.ecar,[Class 6],do_3124882524710666242667,"[Symmetry, symmetric things, Story]",[English],Chapter15_Sammitata_Maths,Content,Live,Mathematics,"{u'spine': {u'size': 92586.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882524710666242667/chapter15_sammitata_maths_1525481840332_do_3124882524710666242667_1.0_spine.ecar'}}",youtube,"[Play With Patterns, Arithmetic Progressions]","[Class 3, Class 10]"
11,,https://www.youtube.com/watch?v=rN-mxSCG7Zc&feature=youtu.be&t=14s,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,Concept Of Volume,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882548505559042668/chapter16_volumme_maths_1525481906432_do_3124882548505559042668_1.0.ecar,[Class 6],do_3124882548505559042668,"[Volume, Ayatan, Story]",[English],Chapter16_Volumme_Maths,Content,Live,Mathematics,"{u'spine': {u'size': 92593.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882548505559042668/chapter16_volumme_maths_1525481906540_do_3124882548505559042668_1.0_spine.ecar'}}",youtube,"[How Heavy? How Light?, How Big How Heavy]","[Class 4, Class 5]"
12,,https://www.youtube.com/watch?v=EtQHUg4qErU,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,natural numbers,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882709811855362670/chapter1_prakrit-sankhyaye_maths_1525481021771_do_3124882709811855362670_1.0.ecar,[Class 6],do_3124882709811855362670,"[natural numbers, Story]",[English],Chapter1_Prakrit sankhyaye_Maths,Content,Live,Mathematics,"{u'spine': {u'size': 92577.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882709811855362670/chapter1_prakrit-sankhyaye_maths_1525481021893_do_3124882709811855362670_1.0_spine.ecar'}}",youtube,"[Whole Numbers, Fractions]",[Class 6]
13,,https://www.youtube.com/watch?v=FUSc_jpYczs&t=113s,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,Representation of Whole number on number line.,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882655067504641723/chapter2_poorn-sankhya_maths_1525481086936_do_3124882655067504641723_1.0.ecar,[Class 6],do_3124882655067504641723,"[Whole Nummber, Poorn sankhya, Story]",[English],Chapter2_poorn Sankhya_Maths,Content,Live,Mathematics,"{u'spine': {u'size': 92613.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882655067504641723/chapter2_poorn-sankhya_maths_1525481087058_do_3124882655067504641723_1.0_spine.ecar'}}",youtube,"[Playing with Numbers, Fractions]",[Class 6]
14,,https://www.youtube.com/watch?v=PAK6UbvHjfI&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882801385144321728/chapter4_sankhyiki_maths_1525481323047_do_3124882801385144321728_1.0.ecar,[Class 6],do_3124882801385144321728,"[sankhyiki, statistics, Story]",[English],Chapter4_Sankhyiki_maths,Content,Live,Mathematics,"{u'spine': {u'size': 92577.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882801385144321728/chapter4_sankhyiki_maths_1525481323161_do_3124882801385144321728_1.0_spine.ecar'}}",youtube,"[Data Handling, Birds Come, Birds Go]","[Class 1, Class 2]"
15,,https://www.youtube.com/watch?v=oOXuGOq1m9Y&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,rekha,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881738959585282660/chapter7_jyamiteey-avdharnaye_maths_1525481433733_do_3124881738959585282660_1.0.ecar,[Class 6],do_3124881738959585282660,"[rekha, Story]",[English],Chapter7_jyamiteey avdharnaye_maths,Content,Live,Mathematics,"{u'spine': {u'size': 92558.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881738959585282660/chapter7_jyamiteey-avdharnaye_maths_1525481433844_do_3124881738959585282660_1.0_spine.ecar'}}",youtube,"[How Heavy? How Light?, Subtraction]","[Class 4, Class 1]"
16,,https://www.youtube.com/watch?v=1P0ILl6_vnc&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,Kon,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881766531399682661/chapter8_kon_maths_1525481490182_do_3124881766531399682661_1.0.ecar,[Class 6],do_3124881766531399682661,"[Kon, Angles, Story]",[English],Chapter8_kon_maths,Content,Live,Mathematics,"{u'spine': {u'size': 92549.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881766531399682661/chapter8_kon_maths_1525481490286_do_3124881766531399682661_1.0_spine.ecar'}}",youtube,"[Smart Charts, How Many Ponytails?]","[Class 3, Class 2]"
17,,https://www.youtube.com/watch?v=bYNZoGNkgPc&t=188s,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,Samanter rekha,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881844542832642662/chapter9_samanter-rekha_maths_1525481559755_do_3124881844542832642662_1.0.ecar,[Class 6],do_3124881844542832642662,"[samanter rekha, parallel lines, Story]",[English],Chapter9_samanter rekha_maths,Content,Live,Mathematics,"{u'spine': {u'size': 92584.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881844542832642662/chapter9_samanter-rekha_maths_1525481559845_do_3124881844542832642662_1.0_spine.ecar'}}",youtube,"[Visualising Solid Shapes, Data Handling]","[Class 7, Class 1]"
18,,https://www.youtube.com/watch?v=UMDe4LtZIHE&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,Bhartiy Prachin vaidik Ganit,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882565889392642669/parishisht_1525481951932_do_3124882565889392642669_1.0.ecar,[Class 6],do_3124882565889392642669,"[Ramanujam, Story]",[English],Parishisht,Content,Live,Mathematics,"{u'spine': {u'size': 92584.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124882565889392642669/parishisht_1525481952060_do_3124882565889392642669_1.0_spine.ecar'}}",youtube,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
19,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123222571312087042683/artifact/g7_mat_l4_percetage_1504181810091.zip,,Meghshala,"[C19, C13, C15]",Resource,7d26d797-aafb-403e-adbd-09ea700773a1,IIntroduction to Profit and Loss Percentage,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123222571312087042683/percentage-lesson-4_1506491123929_do_3123222571312087042683_1.0.ecar,[Class 7],do_3123222571312087042683,[Lesson plan],[English],percentage lesson 4,Content,Live,Mathematics,"{u'spine': {u'size': 393759.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123222571312087042683/percentage-lesson-4_1506491124767_do_3123222571312087042683_1.0_spine.ecar'}}",ecml,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
20,[Other],https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123257937154703362238/artifact/g7_mat_l4_percentage_1504613493042.zip,,Meghshala,,Resource,7d26d797-aafb-403e-adbd-09ea700773a1,IIntroduction to Profit and Loss Percentage,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257937154703362238/percentage-lesson-4_1504613302150_do_3123257937154703362238_1.0.ecar,[Class 7],do_3123257937154703362238,,[English],percentage lesson 4,Content,Live,Mathematics,"{u'spine': {u'size': 960.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257937154703362238/percentage-lesson-4_1504613303426_do_3123257937154703362238_1.0_spine.ecar'}}",ecml,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
21,[Other],https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123257903912386561208/artifact/g7_mat_l5_percentage_1504613089532.zip,,Meghshala,"[C19, C20, C14, C13, C15]",Resource,7d26d797-aafb-403e-adbd-09ea700773a1,Introduction to Banking,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257903912386561208/percentage-lesson-5_1506490025729_do_3123257903912386561208_2.0.ecar,[Class 7],do_3123257903912386561208,[Lesson plan],[English],percentage lesson 5,Content,Live,Mathematics,"{u'spine': {u'size': 392390.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257903912386561208/percentage-lesson-5_1506490026754_do_3123257903912386561208_2.0_spine.ecar'}}",ecml,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
22,[Other],https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123257900232294402233/artifact/g7_mat_l1_percentage_1504613069031.zip,,Meghshala,"[C17, C19, C13, C20]",Resource,7d26d797-aafb-403e-adbd-09ea700773a1,Meaning of Percentage,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257900232294402233/percentages-lesson-1_1506490616644_do_3123257900232294402233_2.0.ecar,[Class 7],do_3123257900232294402233,[Lesson plan],[English],percentages  lesson 1,Content,Live,Mathematics,"{u'spine': {u'size': 1063.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257900232294402233/percentages-lesson-1_1506490617162_do_3123257900232294402233_2.0_spine.ecar'}}",ecml,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
23,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123222560269107201690/artifact/g7_mat_l2_percentage_1504181622337.zip,,Meghshala,"[C9, C20, C19, C6, C14, C8, C7]",Resource,7d26d797-aafb-403e-adbd-09ea700773a1,Word problems on Percentage,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123222560269107201690/percentages-lesson-2_1506489407660_do_3123222560269107201690_1.0.ecar,[Class 7],do_3123222560269107201690,[Lesson plan],[English],percentages  lesson 2,Content,Live,Mathematics,"{u'spine': {u'size': 384241.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123222560269107201690/percentages-lesson-2_1506489408210_do_3123222560269107201690_1.0_spine.ecar'}}",ecml,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
24,[Other],https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123257902777712641206/artifact/g7_mat_l2_percentage_1504613072946.zip,,Meghshala,,Resource,7d26d797-aafb-403e-adbd-09ea700773a1,Word problems on Percentage,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257902777712641206/percentages-lesson-2_1504613305413_do_3123257902777712641206_1.0.ecar,[Class 7],do_3123257902777712641206,,[English],percentages  lesson 2,Content,Live,Mathematics,"{u'spine': {u'size': 950.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257902777712641206/percentages-lesson-2_1504613305959_do_3123257902777712641206_1.0_spine.ecar'}}",ecml,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
25,[Other],https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123257900878069762234/artifact/g7_mat_l3_percentage_1504613053581.zip,,Meghshala,[C26],Resource,7d26d797-aafb-403e-adbd-09ea700773a1,Introduction to Cost Price and Selling PriceIntroduction to Profit and Loss,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257900878069762234/percentages-lesson-3_1506489708691_do_3123257900878069762234_2.0.ecar,[Class 7],do_3123257900878069762234,[Lesson plan],[English],percentages lesson 3,Content,Live,Mathematics,"{u'spine': {u'size': 669754.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123257900878069762234/percentages-lesson-3_1506489709672_do_3123257900878069762234_2.0_spine.ecar'}}",ecml,"[Fields And Fences, Rupees And Paisa]","[Class 4, Class 3]"
26,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312337635658842112288/artifact/1506059054399_do_312337635658842112288.zip,,,[C213],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Worksheet Ascending order,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312337635658842112288/worksheet-ascending-order_1506059054683_do_312337635658842112288_1.0.ecar,[Class 2],do_312337635658842112288,[Worksheet],[English],Worksheet Ascending order,Content,Live,Mathematics,"{u'spine': {u'size': 16385.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312337635658842112288/worksheet-ascending-order_1506059054779_do_312337635658842112288_1.0_spine.ecar'}}",ecml,"[Footprints, Visualising Solid Shapes]","[Class 2, Class 7]"
27,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123379737097994242200/artifact/1506102910843_do_3123379737097994242200.zip,,,[C213],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Worksheet on ascending order,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123379737097994242200/worksheet-on-ascending-order_1506102911151_do_3123379737097994242200_1.0.ecar,[Class 2],do_3123379737097994242200,"[Ascending, , Worksheet]",[English],Worksheet on ascending order,Content,Live,Mathematics,"{u'spine': {u'size': 114408.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123379737097994242200/worksheet-on-ascending-order_1506102911265_do_3123379737097994242200_1.0_spine.ecar'}}",ecml,"[Footprints, Visualising Solid Shapes]","[Class 2, Class 7]"
28,,https://www.youtube.com/watch?v=jHrzP52edi0&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,परिमेय संख्याओं का योग,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249822465114931218487/adhyaay1_primey-snkhyaaen_gnnit8_1525663975573_do_31249822465114931218487_1.0.ecar,"[Class 7, Class 8]",do_31249822465114931218487,"[परिमेय संख्याएँ, rational number, Story]",[English],अध्याय1_परिमेय संख्याएँ_गणित8,Content,Live,Mathematics,"{u'spine': {u'size': 92678.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249822465114931218487/adhyaay1_primey-snkhyaaen_gnnit8_1525663975762_do_31249822465114931218487_1.0_spine.ecar'}}",youtube,"[The Way The World Looks, Visualising Solid Shapes]","[Class 4, Class 7]"
29,,https://www.youtube.com/embed/0CWWNzprEQ4?autoplay=1&enablejsapi=1,,,,Resource,739bd399-2044-4e7e-879c-15279e865e6a,This Content Will Help Us To Understand One Of The Key Concepts Of This Chapter,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312523192097406976115296/a-feast-in-the-forest_1528711663437_do_312523192097406976115296_1.0.ecar,[Class 2],do_312523192097406976115296,"[Order,  Number]",[English],A Feast In The Forest,Content,Live,Mathematics,"{u'spine': {u'size': 970620.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312523192097406976115296/a-feast-in-the-forest_1528711663620_do_312523192097406976115296_1.0_spine.ecar'}}",youtube,"[Shapes And Angles, Rational Numbers]","[Class 5, Class 7]"
30,,https://www.youtube.com/embed/ej_8DABEVMQ?autoplay=1&enablejsapi=1,[PuStack],,,Resource,739bd399-2044-4e7e-879c-15279e865e6a,This Content Will Help Us To Understand One Of The Key Concepts Of This Chapter,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251815664096051219266/acid-bases-and-salts_1528098637595_do_31251815664096051219266_1.0.ecar,[Class 9],do_31251815664096051219266,"[pH,  salt,  acid,  base,  solution,  concentration,  reaction,  oxides,  crystallization]",[English],"Acid, Bases And Salts",Content,Live,Science,"{u'spine': {u'size': 242998.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251815664096051219266/acid-bases-and-salts_1528098637696_do_31251815664096051219266_1.0_spine.ecar'}}",youtube,"[Metals And Non-metals, Acids, Bases And Salts]","[Class 10, Class 7]"
31,,https://www.youtube.com/embed/UgfSwlqi4Qg?autoplay=1&enablejsapi=1,[magicpathsala.com],,,Resource,739bd399-2044-4e7e-879c-15279e865e6a,This Content Will Help Us To Understand One Of The Key Concepts Of This Chapter,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251815647144345619258/angles_1528098626801_do_31251815647144345619258_1.0.ecar,[Class 6],do_31251815647144345619258,,[English],Angles,Content,Live,Mathematics,"{u'spine': {u'size': 239710.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251815647144345619258/angles_1528098626925_do_31251815647144345619258_1.0_spine.ecar'}}",youtube,"[Fun With Give And Take, Shapes And Designs]",[Class 3]
32,,https://www.youtube.com/embed/EZ6dOlRQDBo?autoplay=1&enablejsapi=1,[Don't Memorise],,,Resource,739bd399-2044-4e7e-879c-15279e865e6a,This Content Will Help Us To Understand One Of The Key Concepts Of This Chapter,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312519619106160640210370/angles-and-pair-of-angles_1528274181621_do_312519619106160640210370_1.0.ecar,[Class 7],do_312519619106160640210370,"[The Interior and Exterior of an Angle,  Adjacent angles, Complementary angles, Supplementary angles, Opposite rays, Angles in linear pair, Vertically opposite angles, Interior angles of a polygon, Exterior angle of a triangle]",[English],Angles And Pair Of Angles,Content,Live,Mathematics,"{u'spine': {u'size': 162617.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312519619106160640210370/angles-and-pair-of-angles_1528274181732_do_312519619106160640210370_1.0_spine.ecar'}}",youtube,"[Fun With Give And Take, Shapes And Designs]",[Class 3]
