,Board,Chapter - Concept Name,Chapter Concept Name,Chapter Name,Chapter No.,Ekstep Comments,Ekstep comments,Grade,Keywords,Medium,Netscribes Comments,Netscribes comments,State/Centre,Sub-Topic,Subject,Textbook Name,Topic - Concept Name,Topic Name,Type
10,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Reproductive Health, reproductive system",English,,,Centre,,Health and Physical Education,Health and Physical Education,Reproductive Health,Reproductive Health,K-12
11,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Reproductive Tract Infection, RTIs, Sexually Transmitted Infection, non communicable disease, bacteria, virus, protozoa, Human Immunodeficiency Virus, HIV, hepatitis B, Sign, symptom, RTI, STI, Prevention, control, Menstrual Hygiene, menstruation",English,,,Centre,Reproductive Tract Infections (RTIs) and Sexually Transmitted Infections (STIs),Health and Physical Education,Health and Physical Education,Reproductive Health,Reproductive Health,K-12
12,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Human Immunodeficiency Virus, HIV, AIDS, tuberculosis, fungal infection, cancer, Acquired Immune Deficiency Syndrome, T.B., Immune System",English,,,Centre,,Health and Physical Education,Health and Physical Education,HIV and AIDS,HIV and AIDS,K-12
13,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"HIV Transmission, sexual contact, needle, syringe, AIDS, discrimination, HIV positive",English,,,Centre,HIV Transmission,Health and Physical Education,Health and Physical Education,HIV and AIDS,HIV and AIDS,K-12
14,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Detection, HIV, AIDS, Integrated Counselling, Testing Centre, drug, addiction, drug abuse, window period",English,,,Centre,Detection of HIV and AIDS,Health and Physical Education,Health and Physical Education,HIV and AIDS,HIV and AIDS,K-12
15,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Risk, HIV, HIV infection, condom, unprotected sex, sharing, syringe, needle, ear piercing, acupuncture, blood transfusion",English,,,Centre,Risk Factors for Acquiring HIV,Health and Physical Education,Health and Physical Education,HIV and AIDS,HIV and AIDS,K-12
16,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Sexual Behaviour, HIV, AIDS, drug, abuse, sex, STI, pregnancy, needle, sharing",English,,,Centre,"Responsible Sexual Behaviour to Prevent HIV and
  AIDS",Health and Physical Education,Health and Physical Education,HIV and AIDS,HIV and AIDS,K-12
17,CBSE,Growth and adolescence,,Growing up with Confidence,2,Chapter Concept - Growth and adolescence,,Class 9,"Adolescence, Growth, adulthood, confidence, pubertal change, drug abuse, development, self concept, self esteem, anxiety, depression, nutritional need, sexual desire, harassment, healthy relationship",English,,,Centre,,Health and Physical Education,Health and Physical Education,Growing up with Confidence - Introduction,Introduction,K-12
18,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic Concept - Growth during adolescence,,Class 9,"Growth, adolescence, attainment, reproductive maturity, puberty, childhood, adulthood, stage, human",English,,,Centre,,Health and Physical Education,Health and Physical Education,Growth during adolescence,Growth: A Natural Phenomenon,K-12
19,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic Concept - Growth during adolescence,,Class 9,"Growth, nutrition, living condition, environment, home",English,,,Centre,What is Growth?,Health and Physical Education,Health and Physical Education,Growth during adolescence,Growth: A Natural Phenomenon,K-12
20,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic Concept - Growth during adolescence,,Class 9,"Growth, development, Maturation, puberty",English,,,Centre,"Growth, Development and Maturation",Health and Physical Education,Health and Physical Education,Growth during adolescence,Growth: A Natural Phenomenon,K-12
21,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic concept: Determinants of Growth and Development in humans,,Class 9,"Determinant, growth, development, maturation, genetic, environmental factor, economically sound, household, diet, heredity",English,,,Centre,,Health and Physical Education,Health and Physical Education,Determinants of Growth and Development in humans,Determinants of Growth and Development,K-12
22,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic concept: Determinants of Growth and Development in humans,,Class 9,"Heredity, biological offspring, Hormone, endocrine gland, hormonal, nervous system, growth hormone, gene, ectomorphic, mesomorphic, endomorphic",English,,,Centre,Role of Heredity,Health and Physical Education,Health and Physical Education,Determinants of Growth and Development in humans,Determinants of Growth and Development,K-12
23,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic concept: Determinants of Growth and Development in humans,,Class 9,"Environment, Nutrition, child rearing, psycho social environment, nutritious diet, Protein, amino acid, Carbohydrate, sugar, Lipid, fat, oil, Mineral, Macronutrient, Vitamin, Fat soluble, Water soluble, water, balanced, diet, maturation, growth, malnutrition, undernutrition, counselling, medical examination",English,,,Centre,Role of Environment,Health and Physical Education,Health and Physical Education,Determinants of Growth and Development in humans,Determinants of Growth and Development,K-12
24,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic concept: Determinants of Growth and Development in humans,,Class 9,"Psycho social environment, emotional, psychological environment, Physical, psychological stress, menarche, menstruation, maturation, puberty, heredity, nutrition",English,,,Centre,The Psycho-social environment,Health and Physical Education,Health and Physical Education,Determinants of Growth and Development in humans,Determinants of Growth and Development,K-12
25,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic concept: Determinants of Growth and Development in humans,,Class 9,"Socio economic Status, Poverty, Malnutrition, unhygienic, retarded, growth, dwarfy, bauna, gittha, jhuggi",English,,,Centre,Socio-economic Status,Health and Physical Education,Health and Physical Education,Determinants of Growth and Development in humans,Determinants of Growth and Development,K-12
26,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic Concept - Self-concept and Self-esteem during adolescence,,Class 9,"Self concept, Self esteem, Growth, development, concept, self, teen age, psyche, Self image, positive, Peer group, adolescence",English,,,Centre,,Health and Physical Education,Health and Physical Education,Self-concept and Self-esteem during adolescence,Self-concept and Self-esteem,K-12
27,CBSE,Growth and adolescence,,Growing up with Confidence,2,Topic Concept - Psychological Security during adolescence,,Class 9,"Psychological Security, stress free, environment, Adolescence, loss, childhood, sexual innocence, freedom, responsibility, parental support, Peer Group, relationship, Teacher, Counsellor, Classmate, Parent",English,,,Centre,,Health and Physical Education,Health and Physical Education,Psychological Security during adolescence,Psychological Security,K-12
28,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Chapter Concept - Psychological Security during adolescence,,Class 9,"Psychological Insecurity, Mental Illness, anxiety, depression, psychosis, suicide",English,,,Centre,Psychological Insecurity and Mental Illness,Health and Physical Education,Health and Physical Education,Psychological Security,Psychological Security,K-12
29,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept -Anxiety and Depression during adolescence,,Class 9,"Anxiety, Depression, adolescent",English,,,Centre,,Health and Physical Education,Health and Physical Education,Anxiety and Depression during adolescence,Anxiety and Depression,K-12
30,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept -Anxiety and Depression during adolescence,,Class 9,"Anxiety, mental discomfort, hyperventilation syndrome, teacher, counsellor, parent, friend",English,,,Centre,Anxiety,Health and Physical Education,Health and Physical Education,Anxiety and Depression during adolescence,Anxiety and Depression,K-12
31,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept -Anxiety and Depression during adolescence,,Class 9,"Depression, social withdrawal, weep, eating, sleeping, feeling, dejection, hopelessness, anger, counsellor, health professional, physical activity, hobby",English,,,Centre,Depression,Health and Physical Education,Health and Physical Education,Anxiety and Depression during adolescence,Anxiety and Depression,K-12
32,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept -Anxiety and Depression during adolescence,,Class 9,"Psychosis, delusion, hallucination, abuse, alcohol, drug, injury, traumatic event, imagine voice, happening",English,,,Centre,Psychosis,Health and Physical Education,Health and Physical Education,Anxiety and Depression during adolescence,Anxiety and Depression,K-12
33,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept -Anxiety and Depression during adolescence,,Class 9,"Suicidal Tendency, Depression, unhappiness, suicide, loss, reasoning, counsellor",English,,,Centre,Suicidal Tendency,Health and Physical Education,Health and Physical Education,Anxiety and Depression during adolescence,Anxiety and Depression,K-12
34,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept - Drug Abuse in adolescents,,Class 9,"Drug, Substance, Abuse, peer pressure, self esteem, achievement, family history, Marijuana, hallucinogen, Stimulant, Depressant, Sedative, Narcotic, analgesic, Cannabis Hallucinogen, Bhang, ganja, charas, LSD, Lysergic acid Diethylamide, PCP, Phencyclidine, Mescaline, Psilocybin, Opium, morphine, codeine, heroin, brown sugar, synthetic drug, Methadone, Pethidine, Mephradine, Hypnotic, Mandrax, Doriden, Alcohol, barbiturate, Gardenal, tranquiliser, Valium, Amphetamine, Benzedrine, Dexedrine, Methedrine, cocaine, nicotine, tobacco",English,,,Centre,,Health and Physical Education,Health and Physical Education,Drug Abuse in adolescents,Drug or Substance Abuse,K-12
35,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept - Drug Abuse in adolescents,,Class 9,"Physical Symptom, vision, Slurring, speech, Nausea, vomiting, body pain, Reddening, puffiness, eye, nose, congestion, coughing, pale face, dark circle, Messy, appearance, lack, cleanliness, Drowsiness, sleeplessness, lethargy, passivity, Loss, appetite, weight loss, gain, injection mark, body, blood stain, sweating",English,,,Centre,Physical Symptoms,Health and Physical Education,Health and Physical Education,Drug Abuse in adolescents,Drug or Substance Abuse,K-12
36,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept - Drug Abuse in adolescents,,Class 9,"Behavioural Symptom, mood, temper, tantrum, hostility, anxiety, depression, Blaming, lying, excuse, emotional detachment, study, sport, daily routine, memory, concentration, Secrecy, valuable, money",English,,,Centre,Behavioural Symptoms,Health and Physical Education,Health and Physical Education,Drug Abuse in adolescents,Drug or Substance Abuse,K-12
37,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept - Drug Abuse in adolescents,,Class 9,"Performance Symptom, Withdrawal, grade, home work, absenteeism, needle, syringe, personal room, Drug abuse, HIV, AIDS, STI, food, physical exercise, yoga, occupation, relationship",English,,,Centre,Performance Symptoms,Health and Physical Education,Health and Physical Education,Drug Abuse in adolescents,Drug or Substance Abuse,K-12
38,CBSE,Psychological Security during adolescence,,Growing up with Confidence,2,Topic Concept - Drug Abuse during adolescence,,Class 9,"sexual Harassment, Sexual Abuse, sexual gesture, behaviour, molestation, rape, criminal act, punishable offence, Boy, Protection, Child, Sexual Offence, POCSO, Act, obscene, Training, Resource Material, Adolescence Education Programme",English,,,Centre,,Health and Physical Education,Health and Physical Education,Drug Abuse during adolescence,Sexual Harassment or Sexual Abuse,K-12
39,CBSE,Physical Education,,Physical Education,3,,,Class 9,"physical education, football, cricket, volleyball, hockey, basketball, game, sport, Annual sport",English,,,Centre,,Health and Physical Education,Health and Physical Education,Physical Education - Introduction,Introduction,K-12
40,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Physical Education, physical growth, cognitive development, free play, informal, formal game, sport, yoga activity, Health, physical, social, emotional, mental development, holistic education, physical activity, fitness, efficiency, mental alertness, value, healthy lifestyle",English,,,Centre,,Health and Physical Education,Health and Physical Education,Physical Education,Physical Education,K-12
41,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Physical Education, development, lifestyle, motor ability, physical activity, game, sport, knowledge, human body, growth, socio psychological aspect, fitness, habit, degenerative disease",English,,,Centre,,Health and Physical Education,Health and Physical Education,Physical Education Objectives,Objectives of Physical Education,K-12
42,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Physical Education, multi disciplinary, subject, science, biology, genetis, psychology, sociology, physical fitness",English,,,Centre,,Health and Physical Education,Health and Physical Education,Scope of Physical Education,Scope of Physical Education,K-12
43,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Cultural Heritage, game, sport, Kho Kho, Kabbadi, Archery, Lezim, Wrestling, running, jumping, stone, athletic",English,,,Centre,Games and Sports as a Cultural Heritage,Health and Physical Education,Health and Physical Education,Scope of Physical Education,Scope of Physical Education,K-12
44,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Physical Education, Mechanical Aspect, motion, lever, force, generation, equilibrium, gravity, law of acceleration, speed",English,,,Centre,Mechanical Aspects in Physical Education,Health and Physical Education,Health and Physical Education,Scope of Physical Education,Scope of Physical Education,K-12
45,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Biological Content, biological science, heredity, environment, organ, system, joint, exercise, circulatory, respiratory, muscular, digestive, skeletal system",English,,,Centre,Biological Contents in Physical Education,Health and Physical Education,Health and Physical Education,Scope of Physical Education,Scope of Physical Education,K-12
46,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Health Education, Wellness, Physical education, hygiene, communicable, noncommunicable, disease, nutrition, balanced, diet, Community, health, school health service programme, health status, prevention, safety, first aid",English,,,Centre,Health Education and Wellness Contents in Physical Education,Health and Physical Education,Health and Physical Education,Scope of Physical Education,Scope of Physical Education,K-12
47,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Psycho social Content, physical education, individual difference, personality development, skill, motivation, technique, anxiety, management, ethical, social value",English,,,Centre,Psycho-social Content of Physical Education,Health and Physical Education,Health and Physical Education,Scope of Physical Education,Scope of Physical Education,K-12
48,CBSE,Physical Education,,Physical Education,3,,,Class 9,"Talent, Identification, Training, Physical education, aerobic, anaerobic, rhythmic, calisthenic, sport, skill, technique, tactical pattern, warming up, adaptation, recovery, cooling down, programme",English,,,Centre,Talent Identification and Training Content in Physical Education,Health and Physical Education,Health and Physical Education,Scope of Physical Education,Scope of Physical Education,K-12
49,CBSE,Physical Education,,Physical Education,3,Topic concept: Teaching-Learning Approach to Physical Education,,Class 9,"Teaching Learning Approach, Health, Physical Education, game, sport, extra curricular, activity, infrastructure, equipment, trained teacher, paucity, time, appreciation, holistic development",English,,,Centre,,Health and Physical Education,Health and Physical Education,Teaching-Learning Approach to Physical Education,Teaching-Learning Approach,K-12
50,CBSE,Physical Education,,Physical Education,3,Topic concept: Teaching-Learning Approach to Physical Education,,Class 9,"Methodology, Teaching, learning, physical education, free play, informal, formal game, sport activity, Involvement, learner, Inclusion, education",English,,,Centre,Methodology of Teaching-learning,Health and Physical Education,Health and Physical Education,Teaching-Learning Approach to Physical Education,Teaching-Learning Approach,K-12
51,CBSE,Physical Education,,Physical Education,3,Topic concept: Teaching-Learning Approach to Physical Education,,Class 9,"Physical Education Card, PEC, PEC India Methodology, British Council, Ministry of Human Resource Development, United Nations International Children Emergency Fund, UNICEF, U.K. Sport, Teachers’ Manual, Special child, organisation, activity, opportunity, Track, field event, Kabaddi",English,,,Centre,Physical Education Cards (PEC) Methodology,Health and Physical Education,Health and Physical Education,Teaching-Learning Approach to Physical Education,Teaching-Learning Approach,K-12
52,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Physical fitness, absence, ailment",English,,,Centre,,Health and Physical Education,Health and Physical Education,Physical Fitness - Introduction,Introduction,K-12
53,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Physical, Fitness, efficiency, activity, exercise, routine",English,,,Centre,,Health and Physical Education,Health and Physical Education,Importance of Physical Fitness,Physical Fitness and its Importance,K-12
54,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Physical, Fitness, Well being, quality, life",English,,,Centre,,Health and Physical Education,Health and Physical Education,Physical Fitness and Well-being,Need of Physical Fitness and Well-being,K-12
55,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Physical, fitness, functioning, heart, lung, posture, recovery, cardio vascular disease, Heart attack, Asthma, body fat, nutritional requirement, ageing process, depression, anxiety, fatigue, warming up, cooling down, risk, injury",English,,,Centre,Physical fitness,Health and Physical Education,Health and Physical Education,Physical Fitness and Well-being,Need of Physical Fitness and Well-being,K-12
56,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Physical, Fitness, health, skill",English,,,Centre,,Health and Physical Education,Health and Physical Education,Components of Physical Fitness,Components of Physical Fitness,K-12
57,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Health, Fitness, Cardio respiratory, Muscular Strength, Endurance, Body Composition, Flexibility, walking, running, jogging, swimming, bicycling, lifting weight, yoga, gymnastic, stretching, exercise",English,,,Centre,Components of Health Related Fitness,Health and Physical Education,Health and Physical Education,Components of Physical Fitness,Components of Physical Fitness,K-12
58,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Skill, Fitness, Agility, Balance, Coordination, Speed, Power, Reaction Time, handstand, gymnastic, direction, dribbling, BMI, Overweight, body mass index, Indian health ministry, defense, drop shot, lay up, base",English,,,Centre,Components of Skill-related Fitness,Health and Physical Education,Health and Physical Education,Components of Physical Fitness,Components of Physical Fitness,K-12
59,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Physical Fitness, aerobic, anaerobic",English,,,Centre,,Health and Physical Education,Health and Physical Education,Physical Fitness Activities,Activities for Developing Physical Fitness,K-12
60,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Aerobic, Activity, Exercise, cardiovascular, jogging, cycling, calisthenic, Vertical Jump Test, Measure, Power, cardio respiratory, endurance, aerobic dance, skipping, walking, running, swimming",English,,,Centre,Aerobic Activity,Health and Physical Education,Health and Physical Education,Physical Fitness Activities,Activities for Developing Physical Fitness,K-12
61,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Anaerobic Activity, high intensity, activity, sprinting, body building, weight lifting, sprint race, jumping, mountain climbing, rafting",English,,,Centre,Anaerobic Activity,Health and Physical Education,Health and Physical Education,Physical Fitness Activities,Activities for Developing Physical Fitness,K-12
62,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"All Team Game, Individual Sport, strength, speed, agility, flexibility, endurance",English,,,Centre,All Team Games and Individual Sports,Health and Physical Education,Health and Physical Education,Physical Fitness Activities,Activities for Developing Physical Fitness,K-12
63,CBSE,Physical Fitness,,Physical Fitness,4,,,Class 9,"Warming Up, Cooling Down, game, sport, physical activity, injury, Muscle, stiffness, joint mobility, stretching, exercise, intensity, vigorous exercise",English,,,Centre,Warming Up and Cooling Down,Health and Physical Education,Health and Physical Education,Physical Fitness Activities,Activities for Developing Physical Fitness,K-12
64,CBSE,Sports Training,,Sports Training,5,,,Class 9,"sport, training, physical education, science, medicine, bio mechanic, exercise, physiology, yoga, movement, skill",English,,,Centre,,Health and Physical Education,Health and Physical Education,Sports Training - Introduction,Introduction,K-12
65,CBSE,Sports Training,,Sports Training,5,,,Class 9,"Sport, Training, strength, corrective, restorative exercise, conditioning, cardiovascular training, mental, psychological training, advise, nutritional value",English,,,Centre,,Health and Physical Education,Health and Physical Education,Sports Training,Sports Training: Meaning,K-12
66,CBSE,Sports Training,,Sports Training,5,,,Class 9,"Performance, Development, Sport Training, stress, anxiety, mentally fit",English,,,Centre,,Health and Physical Education,Health and Physical Education,Performance Development,Performance Development Through Sports Training,K-12
67,CBSE,Sports Training,,Sports Training,5,,,Class 9,"Sport, Training, physical fitness, sport skill, tactical efficiency, mental ability, strength, speed, coordination, endurance, flexibility, motors skill, movement skill, hopping, jumping, skipping, kicking, throwing, catching, striking, Tactical training, offensive, defensive, high performance, tactic, sincerity, honesty, self confidence, aspiration, competition, dedication",English,,,Centre,,Health and Physical Education,Health and Physical Education,Objectives of Sports Training,Objectives of Sports Training,K-12
68,CBSE,Sports Training,,Sports Training,5,,,Class 9,"Sport, Training, Individual specific, potential, Performance, Competition, Scientific Process, Coach, confidence, morale, philosopher, mentor, Development, Sport Person, Educational Process, Hidden Talent",English,,,Centre,,Health and Physical Education,Health and Physical Education,Characteristics of Sports Training,Characteristics of Sports Training,K-12
69,CBSE,Sports Training,,Sports Training,5,,,Class 9,"Sport, Training, Continuous Training, Circuit Training, Plyometric Training, Repetation Training, Weight Training, Fartlek Training, Interval Training, Cross Training, cardiovascular activity",English,,,Centre,,Health and Physical Education,Health and Physical Education,Methods of Sports Training,Methods of Sports Training?,K-12
70,CBSE,Sports Training,,Sports Training,5,,,Class 9,"Sport, Training, Continuity, Training Load, Participation, Planned, Systematic Training, General, specific training, Clarity, Cyclicity, result, Critical training, Adaptability, Uniformity, differentiation, Macro cycle, Meso cycle, Feasibility",English,,,Centre,,Health and Physical Education,Health and Physical Education,Principles of Sports Training,Principles of Sports Training,K-12
71,CBSE,Sports Training,,Sports Training,5,Topic concept:  Training Load in Sports,,Class 9,"Training, Load, psychological, physiological demand, motor stimuli, performance, capacity, physical exercise",English,,,Centre,,Health and Physical Education,Health and Physical Education,Training Load in Sports,Training Load,K-12
72,CBSE,Sports Training,,Sports Training,5,Topic concept:  Training Load in Sports,,Class 9,"Over Load, physiological, psychological function, fatigue, decline, performance, sport, concentration, motivation, sleep disorder, appetite, injury",English,,,Centre,Over Load,Health and Physical Education,Health and Physical Education,Training Load in Sports,Training Load,K-12
73,CBSE,Sports Training,,Sports Training,5,Topic concept:  Training Load in Sports,,Class 9,"Adaptation Process, Training Load, physical, psychological functional system, performance, capacity",English,,,Centre,Adaptation Process and Training Load,Health and Physical Education,Health and Physical Education,Training Load in Sports,Training Load,K-12
74,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Individual sport, community event, federation",English,,,Centre,,Health and Physical Education,Health and Physical Education,Individual Sports - Introduction,Introduction,K-12
75,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Badminton, Single, Double, Mixed Double, All England Championship, International Badminton Federation, IBF, World Badminton Federation, WBF, State Badminton Association",English,,,Centre,,Health and Physical Education,Health and Physical Education,Badminton,Badminton,K-12
76,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Event, Single, Double, Mixed Double",English,,,Centre,Types of Events,Health and Physical Education,Health and Physical Education,Badminton,Badminton,K-12
77,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Facility, Equipment, racket, net, shuttle cock, Court, measurement, Badminton",English,,,Centre,Facilities and Equipment,Health and Physical Education,Health and Physical Education,Badminton,Badminton,K-12
78,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Badminton, single, double, toss, court, Server, receiver, racket, shuttle, let, net, umpire, black card, red card, yellow card, tournament",English,,,Centre,How to Play Badminton,Health and Physical Education,Health and Physical Education,Badminton,Badminton,K-12
79,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Badminton, Forehand Grip, Backhand Grip, Footwork, Drop, Drive shot, Stroke, Forehand stroke, Backhand stroke, Smash, Toss and clear, Service, Long, High service, Short, Low service",English,,,Centre,Fundamental Skills of Badminton,Health and Physical Education,Health and Physical Education,Badminton,Badminton,K-12
80,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Scoring, serve, court, opponent, volley",English,,,Centre,Scoring,Health and Physical Education,Health and Physical Education,Badminton,Badminton,K-12
81,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Gymnastic, Gymno, naked art, Greek, Guts Muths, Modern Gymnastic, Friedrich Ludwig Jahn, Federation International de Gymnastique, FIG, Olympic Game, woman, multi sport meet",English,,,Centre,,Health and Physical Education,Health and Physical Education,Gymnastics,Gymnastics,K-12
82,CBSE,Individual Sports,,Individual Sports,6,,,Class 9,"Gymnastic, Sportive Gymnastic, Auxiliary Gymnastic, artistic, men, women, rhythmic, aerobic, acrobatic, trampoline gymnastic, floor exercise, pommel horse, roman ring, parallel bar, horizontal bar, vaulting table, uneven bar, balancing beam",English,,,Centre,Types of Gymnastics,Health and Physical Education,Health and Physical Education,Gymnastics,Gymnastics,K-12
